Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,89.2,88.4,90,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening
2019,NC,North Carolina,Cornelius,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,54.1,53.6,54.6,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication
2018,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,7.2,5.8,8.9,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,22.8,22.2,23.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DEPRESSION,CrdPrv,Depression
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.4,23.8,25,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,OBESITY,AgeAdjPrv,Obesity
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.3,6.2,6.5,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.1,2,2.2,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2018,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,30.9,30.1,31.6,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.7,6.6,6.9,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin)
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.2,2.1,2.3,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,30.5,30,30.9,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2021,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,20.6,17.6,23.8,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking
2021,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,10.6,8.9,12.6,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,4.1,3.6,4.6,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2020,NC,North Carolina,Cornelius,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,80.7,79.1,82.3,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,MAMMOUSE,CrdPrv,Mammography
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,4.9,4.2,5.5,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,29.5,25.2,34.2,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,OBESITY,AgeAdjPrv,Obesity
2021,NC,North Carolina,Cornelius,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,57.3,52.8,61.8,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication
2020,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,7.5,5.9,9.3,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,20.6,18,23.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,32.4,29,36.1,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2020,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,74,72.7,75.5,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,DENTAL,AgeAdjPrv,Dental Visit
2021,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,74.9,71,78.5,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2020,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,7,5.5,8.8,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2021,NC,North Carolina,Cornelius,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,13.4,11.6,15.1,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,MHLTH,CrdPrv,Mental Health
